inc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
39,0.002024762727270836,0.00964149892049728,0.012011705772021606,0.014868759392742828,0.018181250313680505,0.022049447224272194,0.026591739661444198,0.031947054122610036,0.03732048943126456,0.04043727519932411,0.042105601224785426,0.04332332217602724,0.04396238406412929,0.04324963072957313,0.041147612420881864,0.0383932436025967,0.03513390716762581,0.03136114672047476,0.02710395561712537,0.022072400297757876,0.015890775191106567,0.00959680083002503,0.004489137951205216,0.0016574535169680135,0.0008178542499908621,0.0004940951081923386,0.0002597321473382606,8.698006794586314e-05,4.582144587748259e-07
40,0.002022907722108041,0.00966445199398299,0.012150632269435115,0.015175605743551783,0.018665680969878903,0.022725958863850978,0.027480869244890634,0.03307537889290754,0.038601029320467266,0.04167311699805466,0.04334265108001518,0.044606278178228535,0.04529245426980136,0.04458453316124202,0.04244748121407249,0.03964962236181451,0.03635162811886782,0.03253416958124449,0.02822865621792509,0.023140322243093054,0.016930911836958915,0.010345795859558726,0.004847930731481636,0.0018000041838794234,0.0008395992669772525,0.0005049676166855658,0.000264564373335171,8.818812444511943e-05,9.548700280379442e-07
41,0.002021087459648975,0.009687405067468697,0.012285934597350872,0.015475203755365248,0.019139239117584066,0.023386765768939576,0.028350669924349096,0.03417954253322009,0.03985620002318584,0.04288721377979875,0.044565204257254055,0.04587594555893798,0.04660198751498596,0.04589406640642663,0.043720772764279776,0.040880631934548155,0.03753914765762835,0.03368061519903075,0.029327987632240662,0.02418529111494241,0.01794567929632701,0.011079086154602336,0.005199475172763102,0.0019377226247934214,0.0008601362274644462,0.0005170481816780966,0.0002693965993322112,8.939618094446617e-05,1.7972110065753327e-07
42,0.002019258430102385,0.009711566197453655,0.012421236925266638,0.015774801767178725,0.01961158920878999,0.024049988787026653,0.02922047060380758,0.035283706173532665,0.04111137072590433,0.04410131056154292,0.04578775743449287,0.04714923710914523,0.04792118521216465,0.04721930438610167,0.04500252070998172,0.042112849563780884,0.03872787525288841,0.03482464470381848,0.03042490293355768,0.025229051930292536,0.018959238699196232,0.011806336167149387,0.005619878834501018,0.0021382600036685766,0.0008794651314524465,0.0005291287466706496,0.00027302076883000027,9.060423744357988e-05,1.0356787846064618e-06
43,0.0020174060285709653,0.009735727327438616,0.012557747309681644,0.016081648117987693,0.020096019864988393,0.02472408431360698,0.03010839213075474,0.03641323900032942,0.04239191061510712,0.0453419845862704,0.04703447174171672,0.04844910590233593,0.049268168208826076,0.04857111960875998,0.046310845898667186,0.04336922832299874,0.039939555921633924,0.03599041922559251,0.031542355195362005,0.026292141649630642,0.019990918949553734,0.012545666744689161,0.006054779174230236,0.0023617504560297683,0.0009000020919396867,0.0005412093116628058,0.000276644938327785,9.30203504423094e-05,9.503394906389612e-07
44,0.002014206687295895,0.009736935383937861,0.01265439182962147,0.016365541395310938,0.020582866634185265,0.025429589309167736,0.03105309231316657,0.03757418129610661,0.04357338987137157,0.04651983967303709,0.04825219269295861,0.04972239745254325,0.05058857396250393,0.049899981757932727,0.04760467440936176,0.044608694291226984,0.04112586740389543,0.0371308245608826,0.03263564632718146,0.027331070238983866,0.020988773617932707,0.01335868876868305,0.006541625943427332,0.0025767845128956473,0.0009193309959276689,0.0005520818201564382,0.00028268522082400597,9.302035044209953e-05,9.957690323763611e-08
45,0.0020107858236822285,0.009735727327438612,0.012744996067065063,0.01664701855963571,0.021072129516380655,0.02613992653072549,0.03200866500407166,0.038744788043877786,0.04474520467564198,0.04769165447730763,0.04946870558770118,0.05099689705924975,0.051908979716181844,0.05123126002010385,0.04889971097655542,0.04584695220295611,0.04230855471665909,0.03826881378317402,0.03372531328950289,0.02836637465883928,0.021961259099827116,0.01428406004710694,0.007196392566019564,0.0027785299482702367,0.0009410760129140732,0.0005629543286494963,0.0002863093903219056,9.422840694123914e-05,1.1401244695422896e-06
46,0.002007280697346279,0.009734519270939365,0.012835600304508655,0.016933327949957454,0.021569848794070794,0.026865968486773445,0.032981150485966206,0.03993713980863546,0.04592910004490485,0.048876757903069716,0.050699715160434776,0.052283477230948665,0.05323180158285827,0.052551665773781724,0.050186291148254486,0.04707675371919037,0.0434839936904272,0.03939351438397383,0.034804107743331314,0.029389598513702122,0.02292287207322831,0.01519855881703764,0.007843910849616338,0.0029802753836445693,0.0009591968604028569,0.0005750348936419138,0.0002899335598193379,9.664451993986332e-05,6.663224269182629e-07
47,0.0020038304988195177,0.009733311214440118,0.012932244824448493,0.01722567762277542,0.022076024467255654,0.027598050725317666,0.03396330041985472,0.04114036408188632,0.047131116261656524,0.05007877411982138,0.051947637524157875,0.0535893863066357,0.05457395235352275,0.05388173597945371,0.05147287131995336,0.048312595517920984,0.044659432664195496,0.04051579887177516,0.035878069971162545,0.030410406255566708,0.023882068933631255,0.016110641473969522,0.008490221076714264,0.003180812762519552,0.0009797338208901187,0.0005859074021351495,0.0002935577293170124,9.785257643906887e-05,4.722984432979157e-07
48,0.002000378055018332,0.009732103157940871,0.01302647323138982,0.01752044340859191,0.022580992083941258,0.02833134102036111,0.03494665841024251,0.042343588355137206,0.04833313247840815,0.05128320644957151,0.05319555988788081,0.05489650343882182,0.05591851923718565,0.05521059812862636,0.05276186760465081,0.04954964537315088,0.0458348716379635,0.04163929141607567,0.036953240255493194,0.03143242205393067,0.024842473850533127,0.017023932187401086,0.009136531303811639,0.0033813501413947305,0.0009990627248781146,0.0005967799106284018,0.0002983899553141373,9.906063293827067e-05,1.0812760877079365e-06
